一个	1498061
的  234234423
明天	1081768
英语	870064
手机	802310
一首	592982
二十	581847
喜欢	543081
一点	526122
早上	455586
除以	453548
英文	442038
十五	418665
歌曲	393164
五十	341158
世界	338443
故事	335534
三十	331768
分钟	328915
十二	325488
妈妈	311115
四十	303132
一百	302546
首歌	298479
爸爸	288155
游戏	270943
小时	270137
视频	264986
起床	250750
零点	238438
名字	235525
十八	221826
朋友	214588
六点	212520
电视	206375
晚上	199164
七点	194382
红包	193979
爱小	191757
下午	190936
笑话	185659
十六	185518
说话	178118
睡觉	175963
中国	174305
十一	172580
百分之	172568
东西	170650
日语	169157
图片	166798
奥特曼	165601
十四	164867
星座	164418
不好	162431
小兵	159224
十九	159208
王者	158718
下雨	158289
你好	157852
信息	155560
老婆	153529
点钟	152446
宝宝	151755
密码	149282
小冰	147104
聊天	144156
十三	143481
不想	141103
荣耀	140481
八点	139908
找到	134987
儿子	134418
音量	134115
六十	132093
我定	129681
成语	128375
十七	127713
动画片	127219
五点	127175
好看	124712
二十五	122115
好不好	118959
八十	114713
三点	113915
酷狗	113673
网易	111519
女朋友	110304
告诉	108100
语音	107234
屏幕	105814
奥特	105458
空调	105309
人民币	104281
五分	104136
儿歌	102848
第一	102417
刚才	102215
苹果	101821
吃饭	101339
打个	100990
百分	100831
特曼	97091
好听	96021
姐姐	95884
九点	95860
四点	95779
百科	95486
七十	95346
四十五	92410
作业	91204
二点	90680
上午	90543
一千	90436
漂亮	90143
功能	89886
发微	89727
真的	88912
三百	88752
小爱帮	88528
垃圾	88514
二百	87611
年级	87486
样子	85701
电视剧	85282
干什么	85220
九十	84136
雷军	83113
干嘛	82738
生日	82405
地方	81580
孩子	80849
衣服	80339
亮度	80058
北京	79851
可爱	79808
小爱小爱	79329
多久	78000
谢谢	77557
快乐	76786
调到	76357
作文	76254
才能	76039
男朋友	75638
自动	75386
宝贝	75212
星期	75203
人民	75070
女生	74967
零零	74391
动画	74368
距离	73066
一句	72938
小猪	72516
二十四	72509
消息	72463
十点	71622
近义词	71362
二月	71238
机器人	69417
温度	69229
好玩	68352
动物	68201
老公	68077
唱歌	67518
厉害	66864
国家	66652
适合	66379
鸡蛋	66102
早晨	65827
十分钟	65562
超级	65480
六点半	65445
妹妹	65406
新闻	64185
组词	63878
号码	63832
五百	63652
二十八	63513
小孩	63392
三十五	63359
几点	63319
古诗	63279
软件	63044
女人	63038
老师	63012
哥哥	62779
主题曲	62677
可不可以	61982
开心	61935
聪明	61634
十二点	61152
九九	61103
腾讯	61079
爱情	60238
主题	59750
删除	59605
规则	59558
两点	59022
五加	58404
听听	58169
佩奇	58122
好吃	58076
地图	57786
学习	57580
儿童	57562
求生	57231
十五分	56989
三九	56826
词语	56338
接龙	56337
五十五	55660
介绍	55515
傻子	55508
一月	55388
弟弟	55159
预报	54789
绝地	54735
充电	54659
一十	54039
男生	53940
几个	53853
奶奶	53716
一首歌	53577
四百	53575
布朗	53563
快点	53459
刚刚	53447
一九	53352
唱首歌	53149
二十六	52904
中午	52489
出生	52248
推荐	52136
英雄	51670
块钱	51574
颜色	51525
放屁	51178
后天	51080
十一点	50897
猫叫	50855
刺激	50852
公主	50382
五月	50224
战场	50162
农历	50087
火车	49825
凌晨	49511
桌面	49403
爷爷	49178
第二	49120
电话号码	48797
天天	48788
三月	48737
未来	48479
四月	48424
关了	48354
上学	48342
支付宝	48287
七百	47972
后台	47954
美女	47827
淘宝	47791
网络	47516
太阳	47364
二十二	47210
女孩	46634
再见	46470
二零一	46271
铃声	46066
智能	46044
明早	46018
僵尸	45970
恐龙	45908
查看	45662
今天天气	45506
二十三	45330
单词	45305
一万	45195
精灵	45137
到底	44419
笨蛋	44109
小说	43932
女儿	43925
机器	43890
百五	43867
男人	43820
手电筒	43684
五十八	43373
老子	43348
回家	43195
七五	43047
迷你	43009
内存	42844
壁纸	42704
几天	42579
